text,label
Nhóm đã thống nhất sẽ tiếp tục nghiên cứu vấn đề này,neutral
Các dữ liệu đã được lưu trữ trong hệ thống,neutral
Bản báo cáo đã được cập nhật thêm thông tin,neutral
Nhóm sẽ xem xét lại kế hoạch vào cuối tuần,neutral
Mọi người đã đọc tài liệu trước khi họp,neutral
Cuộc trao đổi diễn ra khá ngắn gọn,neutral
Nhóm đã ghi nhận tất cả ý kiến trong buổi họp,neutral
Thông tin đã được cập nhật đầy đủ,neutral
Mọi người đang xem lại các dữ liệu cũ,neutral
Kế hoạch sẽ được điều chỉnh nếu cần thiết,neutral
Nhóm sẽ tiếp tục làm việc vào tuần tới,neutral
Bản báo cáo được gửi vào buổi sáng,neutral
Các dữ liệu đang được kiểm tra lại,neutral
Nhóm đang chuẩn bị cho cuộc họp tiếp theo,neutral
Bản kế hoạch đang được xem xét lại,neutral
Mọi người đang thảo luận về bước tiếp theo,neutral
Thông tin đã được lưu lại trong hệ thống,neutral
Nhóm sẽ họp lại vào ngày mai,neutral
Các dữ liệu đã được phân loại theo từng nhóm,neutral
Cuộc trao đổi kết thúc vào buổi trưa,neutral
Mọi người đã nhận được bản báo cáo mới,neutral
Kế hoạch đang được cập nhật thêm,neutral
anh yêu cô ấy lắm,positive
tôi yêu em rất nhiều,positive
môn này điểm rất cao,positive
lao động là vinh quang lao động là vẻ vang,positive
hãy mang vinh quang về cho nước nhà,positive
nà ná na na anh độ mixi,positive
vừa đánh rơi tiền,negative
đánh rơi 3 tỷ,negative
tôi sẽ kiếm được tiền tỷ trong năm tới,positive
chiến dịch thất bại,negative
xe tôi bị hỏng,negative
quạt này hỏng may mua quạt mới,positive
hai xe va chạm may không sao,positive
ba chiếc va chạm gây tai nạn,negative
tử vong,negative
mắt mù tai điếc,negative
sợ hãi,negative
bị ngã,negative
bị ngã may không làm sao,positive
đầu tôi đau quá,negative
chiếc xe bị mất không tìm thấy,negative
không thấy chắc mất,negative
đánh thắng,positive
cứu mạng với,negative
cám ơn bạn cứu tôi,positive
không ai cứu,negative
trong cái rủi có cái xui,negative
hôm kia thật xui xẻo,negative
không biết có nên mua không,positive
thái độ không tốt,negative
trả hàng,negative
đền hàng,negative
tồn kho,negative
trúng thưởng,positive
vừa rồi tồn kho nhiều quá,negative
rẻ thế,positive
đắt quá,negative
giá cắt cổ,negative
giá cao quá,negative
tiên lượng thấp,negative
được nghỉ,positive
tặng kèm ưu đãi,positive
mình tặng hoa cho người yêu,positive
cháy nhà,negative
cháy tài khoản,negative
buồn cười quá,positive
alo vũ à vũ,negative
tìm thấy,positive
không tìm thấy đâu,negative
tôi ghét phải,negative
tôi căm thù chúng tận xương tủy,negative
dù ghét lắm nhưng phải nhịn,negative
bạn không đủ tiền chữa bệnh,negative
tôi khỏi bệnh rồi,positive
sợ quá,negative
bạn đã mắc bệnh nan y,negative
kỳ này điểm cao,positive
chiến thắng cuộc thi,positive
haha,positive
cười sái hàm,positive
rất cảm động,positive
rất xúc động,positive
bạn khiến tôi tự hào,positive
ta đánh rơi cơ hội,negative
mình cảm thấy hãnh diện,positive
tôi cảm thấy xấu hổ,negative
mình rất tự ti,negative
lòng tôi tan nát,negative
tôi đau lòng khi nhận ra,negative
lái xe buông tay rất nguy hiểm,negative
nguy hiểm đã được hóa giải,positive
nước cờ đã hóa giải khó khăn,positive
nguy hiểm quá,negative
đồ ăn hại,negative
đồ ăn rất ngon,positive
thiếu chút không sao,positive
thiếu tiền để chữa bệnh nan y,negative
bệnh tình có tiến triển,positive
bệnh cũ tái phát,negative
đã khỏi bệnh,positive
khá hào hứng,positive
thật hào sảng,positive
sảng khoái quá,positive
tôi bị ốm sốt chưa khỏi,negative
ốm nhẹ nhanh khỏi,positive
ôm sốt nặng vẫn chưa khỏi,negative
sớm bình phục,positive
tôi khỏi sốt rồi,positive
chúc mừng năm mới,positive
chúc bác bách niên giai lão,positive
may có quý nhân phù trợ,positive
gặp may mắn,positive
tôi thấy bình thường mà,neutral
